"","Statistic","Year","Road.User.Type","Sex","Age.Group","value"
"395","Injured Cassualties (Number)","2010","Pedestrians","Female","All ages",394
"396","All Killed and Injured Casualties (Number)","2010","Pedestrians","Female","All ages",406
"397","Killed Casualties (Number)","2011","Pedestrians","Female","All ages",14
"398","Injured Cassualties (Number)","2011","Pedestrians","Female","All ages",383
"399","All Killed and Injured Casualties (Number)","2011","Pedestrians","Female","All ages",397
"400","Killed Casualties (Number)","2012","Pedestrians","Female","All ages",9
"401","Injured Cassualties (Number)","2012","Pedestrians","Female","All ages",424
"402","All Killed and Injured Casualties (Number)","2012","Pedestrians","Female","All ages",433
"403","Killed Casualties (Number)","2013","Pedestrians","Female","All ages",13
"404","Injured Cassualties (Number)","2013","Pedestrians","Female","All ages",381
"405","All Killed and Injured Casualties (Number)","2013","Pedestrians","Female","All ages",394
"406","Killed Casualties (Number)","2014","Pedestrians","Female","All ages",21
"407","Injured Cassualties (Number)","2014","Pedestrians","Female","All ages",455
"408","All Killed and Injured Casualties (Number)","2014","Pedestrians","Female","All ages",476
"409","Killed Casualties (Number)","2015","Pedestrians","Female","All ages",9
"410","Injured Cassualties (Number)","2015","Pedestrians","Female","All ages",475
"411","All Killed and Injured Casualties (Number)","2015","Pedestrians","Female","All ages",484
"412","Killed Casualties (Number)","2016","Pedestrians","Female","All ages",10
"413","Injured Cassualties (Number)","2016","Pedestrians","Female","All ages",481
"414","All Killed and Injured Casualties (Number)","2016","Pedestrians","Female","All ages",491
"415","Killed Casualties (Number)","2017","Pedestrians","Female","All ages",7
"416","Injured Cassualties (Number)","2017","Pedestrians","Female","All ages",498
"417","All Killed and Injured Casualties (Number)","2017","Pedestrians","Female","All ages",505
"418","Killed Casualties (Number)","2018","Pedestrians","Female","All ages",13
"419","Injured Cassualties (Number)","2018","Pedestrians","Female","All ages",510
"420","All Killed and Injured Casualties (Number)","2018","Pedestrians","Female","All ages",523
"421","Killed Casualties (Number)","2005","Pedal cyclists","Female","All ages",2
"422","Injured Cassualties (Number)","2005","Pedal cyclists","Female","All ages",43
"423","All Killed and Injured Casualties (Number)","2005","Pedal cyclists","Female","All ages",45
"424","Killed Casualties (Number)","2006","Pedal cyclists","Female","All ages",2
"425","Injured Cassualties (Number)","2006","Pedal cyclists","Female","All ages",42
"426","All Killed and Injured Casualties (Number)","2006","Pedal cyclists","Female","All ages",44
"427","Killed Casualties (Number)","2007","Pedal cyclists","Female","All ages",4
"428","Injured Cassualties (Number)","2007","Pedal cyclists","Female","All ages",59
"429","All Killed and Injured Casualties (Number)","2007","Pedal cyclists","Female","All ages",63
"430","Killed Casualties (Number)","2008","Pedal cyclists","Female","All ages",2
"431","Injured Cassualties (Number)","2008","Pedal cyclists","Female","All ages",81
"432","All Killed and Injured Casualties (Number)","2008","Pedal cyclists","Female","All ages",83
"433","Killed Casualties (Number)","2009","Pedal cyclists","Female","All ages",0
"434","Injured Cassualties (Number)","2009","Pedal cyclists","Female","All ages",77
"435","All Killed and Injured Casualties (Number)","2009","Pedal cyclists","Female","All ages",77
"436","Killed Casualties (Number)","2010","Pedal cyclists","Female","All ages",1
"437","Injured Cassualties (Number)","2010","Pedal cyclists","Female","All ages",94
"438","All Killed and Injured Casualties (Number)","2010","Pedal cyclists","Female","All ages",95
"439","Killed Casualties (Number)","2011","Pedal cyclists","Female","All ages",0
"440","Injured Cassualties (Number)","2011","Pedal cyclists","Female","All ages",89
"441","All Killed and Injured Casualties (Number)","2011","Pedal cyclists","Female","All ages",89
"442","Killed Casualties (Number)","2012","Pedal cyclists","Female","All ages",4
"443","Injured Cassualties (Number)","2012","Pedal cyclists","Female","All ages",158
"444","All Killed and Injured Casualties (Number)","2012","Pedal cyclists","Female","All ages",162
"445","Killed Casualties (Number)","2013","Pedal cyclists","Female","All ages",1
"446","Injured Cassualties (Number)","2013","Pedal cyclists","Female","All ages",144
"447","All Killed and Injured Casualties (Number)","2013","Pedal cyclists","Female","All ages",145
"448","Killed Casualties (Number)","2014","Pedal cyclists","Female","All ages",3
"449","Injured Cassualties (Number)","2014","Pedal cyclists","Female","All ages",195
"450","All Killed and Injured Casualties (Number)","2014","Pedal cyclists","Female","All ages",198
"451","Killed Casualties (Number)","2015","Pedal cyclists","Female","All ages",1
"452","Injured Cassualties (Number)","2015","Pedal cyclists","Female","All ages",228
"453","All Killed and Injured Casualties (Number)","2015","Pedal cyclists","Female","All ages",229
"454","Killed Casualties (Number)","2016","Pedal cyclists","Female","All ages",2
"455","Injured Cassualties (Number)","2016","Pedal cyclists","Female","All ages",253
"456","All Killed and Injured Casualties (Number)","2016","Pedal cyclists","Female","All ages",255
"457","Killed Casualties (Number)","2017","Pedal cyclists","Female","All ages",5
"458","Injured Cassualties (Number)","2017","Pedal cyclists","Female","All ages",275
"459","All Killed and Injured Casualties (Number)","2017","Pedal cyclists","Female","All ages",280
"460","Killed Casualties (Number)","2018","Pedal cyclists","Female","All ages",0
"461","Injured Cassualties (Number)","2018","Pedal cyclists","Female","All ages",261
"462","All Killed and Injured Casualties (Number)","2018","Pedal cyclists","Female","All ages",261
"463","Killed Casualties (Number)","2005","Motor cyclists","Female","All ages",2
"464","Injured Cassualties (Number)","2005","Motor cyclists","Female","All ages",43
"465","All Killed and Injured Casualties (Number)","2005","Motor cyclists","Female","All ages",45
"466","Killed Casualties (Number)","2006","Motor cyclists","Female","All ages",3
"467","Injured Cassualties (Number)","2006","Motor cyclists","Female","All ages",43
"468","All Killed and Injured Casualties (Number)","2006","Motor cyclists","Female","All ages",46
"469","Killed Casualties (Number)","2007","Motor cyclists","Female","All ages",0
"470","Injured Cassualties (Number)","2007","Motor cyclists","Female","All ages",28
"471","All Killed and Injured Casualties (Number)","2007","Motor cyclists","Female","All ages",28
"472","Killed Casualties (Number)","2008","Motor cyclists","Female","All ages",1
"473","Injured Cassualties (Number)","2008","Motor cyclists","Female","All ages",36
"474","All Killed and Injured Casualties (Number)","2008","Motor cyclists","Female","All ages",37
"475","Killed Casualties (Number)","2009","Motor cyclists","Female","All ages",0
"476","Injured Cassualties (Number)","2009","Motor cyclists","Female","All ages",29
"477","All Killed and Injured Casualties (Number)","2009","Motor cyclists","Female","All ages",29
"478","Killed Casualties (Number)","2010","Motor cyclists","Female","All ages",1
"479","Injured Cassualties (Number)","2010","Motor cyclists","Female","All ages",27
"480","All Killed and Injured Casualties (Number)","2010","Motor cyclists","Female","All ages",28
"481","Killed Casualties (Number)","2011","Motor cyclists","Female","All ages",1
"482","Injured Cassualties (Number)","2011","Motor cyclists","Female","All ages",32
"483","All Killed and Injured Casualties (Number)","2011","Motor cyclists","Female","All ages",33
"484","Killed Casualties (Number)","2012","Motor cyclists","Female","All ages",3
"485","Injured Cassualties (Number)","2012","Motor cyclists","Female","All ages",29
"486","All Killed and Injured Casualties (Number)","2012","Motor cyclists","Female","All ages",32
"487","Killed Casualties (Number)","2013","Motor cyclists","Female","All ages",2
"488","Injured Cassualties (Number)","2013","Motor cyclists","Female","All ages",18
"489","All Killed and Injured Casualties (Number)","2013","Motor cyclists","Female","All ages",20
"490","Killed Casualties (Number)","2014","Motor cyclists","Female","All ages",1
"491","Injured Cassualties (Number)","2014","Motor cyclists","Female","All ages",27
"492","All Killed and Injured Casualties (Number)","2014","Motor cyclists","Female","All ages",28
"493","Killed Casualties (Number)","2015","Motor cyclists","Female","All ages",1
"494","Injured Cassualties (Number)","2015","Motor cyclists","Female","All ages",31
"495","All Killed and Injured Casualties (Number)","2015","Motor cyclists","Female","All ages",32
"496","Killed Casualties (Number)","2016","Motor cyclists","Female","All ages",2
"497","Injured Cassualties (Number)","2016","Motor cyclists","Female","All ages",31
"498","All Killed and Injured Casualties (Number)","2016","Motor cyclists","Female","All ages",33
"499","Killed Casualties (Number)","2017","Motor cyclists","Female","All ages",1
"500","Injured Cassualties (Number)","2017","Motor cyclists","Female","All ages",31
"501","All Killed and Injured Casualties (Number)","2017","Motor cyclists","Female","All ages",32
"502","Killed Casualties (Number)","2018","Motor cyclists","Female","All ages",0
"503","Injured Cassualties (Number)","2018","Motor cyclists","Female","All ages",41
"504","All Killed and Injured Casualties (Number)","2018","Motor cyclists","Female","All ages",41
"505","Killed Casualties (Number)","2005","All Car users","Female","All ages",70
"506","Injured Cassualties (Number)","2005","All Car users","Female","All ages",2502
"507","All Killed and Injured Casualties (Number)","2005","All Car users","Female","All ages",2572
"508","Killed Casualties (Number)","2006","All Car users","Female","All ages",67
"509","Injured Cassualties (Number)","2006","All Car users","Female","All ages",2646
"510","All Killed and Injured Casualties (Number)","2006","All Car users","Female","All ages",2713
"511","Killed Casualties (Number)","2007","All Car users","Female","All ages",53
"512","Injured Cassualties (Number)","2007","All Car users","Female","All ages",2597
"513","All Killed and Injured Casualties (Number)","2007","All Car users","Female","All ages",2650
"514","Killed Casualties (Number)","2008","All Car users","Female","All ages",55
"515","Injured Cassualties (Number)","2008","All Car users","Female","All ages",3186
"516","All Killed and Injured Casualties (Number)","2008","All Car users","Female","All ages",3241
"517","Killed Casualties (Number)","2009","All Car users","Female","All ages",40
"518","Injured Cassualties (Number)","2009","All Car users","Female","All ages",3280
"519","All Killed and Injured Casualties (Number)","2009","All Car users","Female","All ages",3320
